id,role,filmwork_id,person_id,created,modified,is_removed
f7171ac3-6204-4a16-b0ce-728247aa39c1,director,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,67de6cda-e943-46bb-92c1-fcd8c3ae3634,2020-01-01 13:30:00+00,2020-08-22 19:40:34+00,false
e3ab6103-d471-4166-8184-56081388865d,writer,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,67de6cda-e943-46bb-92c1-fcd8c3ae3634,2020-01-01 13:30:00+00,2020-02-01 19:55:17+00,false
c6444e83-509b-4bd5-bbd0-eeb83bda1c32,actor,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,4ae39a48-4052-4b7d-8e60-27f151a70cec,2020-01-01 13:30:00+00,2020-11-02 06:44:05+00,false
893ab10f-b3d3-4dcd-8ee0-16b1c06faa57,actor,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,b59cad9c-7fd1-4ab8-8b4e-5fb7a7e9bbce,2020-01-01 13:30:00+00,2020-10-17 10:51:35+00,false
7058978b-a146-4161-a57a-640fa73d7c8b,actor,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,10087c5d-523d-44bf-887a-66be31992741,2020-01-01 13:30:00+00,2020-08-26 21:18:56+00,false
02213584-cad8-4ce7-805f-334a6bcd95ca,actor,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,3fb3e88e-db2a-4864-80cc-027d8ac08149,2020-01-01 13:30:00+00,2020-05-19 02:04:12+00,false
02ff4fea-a633-431d-91a1-f08b4f059128,director,b5136b70-a94c-480f-8d62-74aa95760cae,f55d9aae-0f54-43f2-8706-cbe337c9deb0,2020-01-01 13:30:00+00,2020-03-02 17:50:44+00,false
cf39ba9a-4ed5-49e3-a9f9-863c59be586e,writer,b5136b70-a94c-480f-8d62-74aa95760cae,67de6cda-e943-46bb-92c1-fcd8c3ae3634,2020-01-01 13:30:00+00,2020-06-01 13:21:45+00,false
f423dace-4686-404e-a388-9c657da2080a,writer,b5136b70-a94c-480f-8d62-74aa95760cae,61dca77d-498e-4074-869c-38d6b29cfeef,2020-01-01 13:30:00+00,2020-09-04 19:33:47+00,false
ed1b01a6-12a2-4bcd-8cc0-d261aff63333,writer,b5136b70-a94c-480f-8d62-74aa95760cae,e4f36a58-0667-4e14-a4a7-14798f3be886,2020-01-01 13:30:00+00,2020-11-08 20:18:32+00,false
