id,filmwork_id,genre_id,created,modified,is_removed
2232,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-04-10 19:58:29+00,false
2233,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-06-23 06:14:26+00,false
2234,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-05-22 19:16:33+00,false
2235,5e7a66c5-7ec4-4832-a3c1-a34fdb9f1fe3,6ffb1f60-73be-4330-8d6f-19f93a18773d,2020-01-01 13:30:00+00,2020-04-20 21:54:31+00,false
2236,b5136b70-a94c-480f-8d62-74aa95760cae,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-07-09 00:03:06+00,false
2237,b5136b70-a94c-480f-8d62-74aa95760cae,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-06-08 22:01:41+00,false
2238,b5136b70-a94c-480f-8d62-74aa95760cae,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-03-01 21:09:02+00,false
2239,b5136b70-a94c-480f-8d62-74aa95760cae,6ffb1f60-73be-4330-8d6f-19f93a18773d,2020-01-01 13:30:00+00,2020-03-27 04:22:20+00,false
2240,5565b891-a807-47c0-bc56-4a68935d2696,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-01-19 15:54:11+00,false
2241,5565b891-a807-47c0-bc56-4a68935d2696,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-03-20 01:52:24+00,false
2242,5565b891-a807-47c0-bc56-4a68935d2696,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-06-08 15:11:50+00,false
2243,5565b891-a807-47c0-bc56-4a68935d2696,6ffb1f60-73be-4330-8d6f-19f93a18773d,2020-01-01 13:30:00+00,2020-03-05 08:51:05+00,false
2244,67d12559-54db-463c-a01f-5155d5e1fb1e,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-05-11 07:27:16+00,false
2245,67d12559-54db-463c-a01f-5155d5e1fb1e,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-01-08 03:20:34+00,false
2246,67d12559-54db-463c-a01f-5155d5e1fb1e,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-05-03 23:59:49+00,false
2247,46a84aaf-d556-4b49-8674-2cf414a694a0,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-07-30 02:45:37+00,false
2248,46a84aaf-d556-4b49-8674-2cf414a694a0,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-11-19 13:29:38+00,false
2249,46a84aaf-d556-4b49-8674-2cf414a694a0,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-01-07 19:14:40+00,false
2250,46a84aaf-d556-4b49-8674-2cf414a694a0,6ffb1f60-73be-4330-8d6f-19f93a18773d,2020-01-01 13:30:00+00,2020-09-11 11:45:06+00,false
2251,fb9582ea-c230-4fa4-9c0d-84de5f5be01e,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-04-26 11:49:55+00,false
2252,fb9582ea-c230-4fa4-9c0d-84de5f5be01e,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-06-01 14:44:36+00,false
2253,fb9582ea-c230-4fa4-9c0d-84de5f5be01e,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-03-19 06:36:37+00,false
2254,fb9582ea-c230-4fa4-9c0d-84de5f5be01e,6ffb1f60-73be-4330-8d6f-19f93a18773d,2020-01-01 13:30:00+00,2020-02-20 02:29:52+00,false
2255,5ad1787b-7ab8-41ca-b801-4736c8b9ef00,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-06-28 20:34:57+00,false
2256,5ad1787b-7ab8-41ca-b801-4736c8b9ef00,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-11-15 23:35:22+00,false
2257,5ad1787b-7ab8-41ca-b801-4736c8b9ef00,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-09-19 13:01:35+00,false
2258,5ad1787b-7ab8-41ca-b801-4736c8b9ef00,6ffb1f60-73be-4330-8d6f-19f93a18773d,2020-01-01 13:30:00+00,2020-11-26 04:51:13+00,false
2259,2df03721-4edb-462f-8eca-d83a7ec40e53,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-04-28 03:49:00+00,false
2260,2df03721-4edb-462f-8eca-d83a7ec40e53,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-03-31 17:10:10+00,false
2261,2df03721-4edb-462f-8eca-d83a7ec40e53,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-04-06 08:30:18+00,false
2262,4d669d0f-dab0-4ddd-8315-86a5a698ed44,e083bf3a-31b4-4232-a4b5-f6efac5bd060,2020-01-01 13:30:00+00,2020-01-19 09:32:59+00,false
2263,4d669d0f-dab0-4ddd-8315-86a5a698ed44,5c109612-d990-4dc6-ba08-994dfa910b3e,2020-01-01 13:30:00+00,2020-02-10 14:11:25+00,false
2264,4d669d0f-dab0-4ddd-8315-86a5a698ed44,5b3135e4-1357-4086-af0d-1b3c9622656c,2020-01-01 13:30:00+00,2020-10-20 07:58:05+00,false
2265,4d669d0f-dab0-4ddd-8315-86a5a698ed44,6ffb1f60-73be-4330-8d6f-19f93a18773d,2020-01-01 13:30:00+00,2020-05-07 15:57:07+00,false
